image,sender_id,label,kids
e85b5945-e8d0-4049-84b4-22ff5907ec8e,59,Longsleeve,False
49d3b29c-54b9-4cae-b918-504cf24ce128,214,Shoes,False
d748ed88-9bf7-402e-98a9-7a4c65582e48,150,Shoes,False
29d44695-c6b6-4b76-8ac9-12032990ba5f,3,T-Shirt,False
4b8e5d41-3e12-4d2b-8634-e62e71d613ff,174,Dress,False
fc739085-2b1b-4176-b255-eebf690c486a,148,Top,True
e912d309-20d4-44c1-887d-43c4e59c76be,78,T-Shirt,False
53e1ebfe-5216-4c95-b166-bee422a056f6,121,T-Shirt,False
9b76f08a-3224-4767-8ee4-04a527777477,66,Top,False
8086c317-da42-48c2-bf29-d1d0063a78c7,14,T-Shirt,False
8d5b6ef2-bc6f-4364-a278-580a5d91c7d7,103,T-Shirt,False
f1c78283-2da0-45fc-8f20-4f874519d415,274,Dress,True
f4106e52-0286-4971-975c-8ba4c060ba71,18,Body,False
d3dae2c8-5333-4943-b709-2dca57bf9554,78,T-Shirt,False
51c73057-ed52-4bf3-afa8-34a015301565,78,Shoes,False
3fe20c87-2f09-459c-9b59-d4e9a07b361e,97,Pants,True
739bafaa-cce9-4322-b16c-21baac21a313,153,Hoodie,False
e2dfcb33-19ba-4c82-998b-66f125086e63,232,Shoes,False
c905b7cc-a17a-4c75-b451-87292b51f73a,175,Pants,False
8a7353cf-f8e3-4a73-b72e-239ed04d4e2d,113,Skirt,False
598090c2-f12f-4e60-9b23-d556a38117ad,319,Hoodie,False
f97dba0a-37f7-452b-9159-90d4d6757473,304,Pants,False
7e72662d-d284-4e75-800e-051cf95f4750,270,Skip,False
744c6ec1-4bdd-4836-8cec-833449eb2f00,201,Dress,True
e527e508-fe15-4369-a497-0134a03c755d,357,T-Shirt,False
2b64b726-ffca-44b1-a986-cc9fbdacf665,288,Pants,True
28455ee9-ca04-4efc-bb1f-73b56e6d2bd7,116,Blouse,False
e580170f-d447-4d58-ac33-3d40b3771c8f,65,Outwear,False
8ec6a809-a037-4f2e-b7a8-2361ad62a3af,316,T-Shirt,False
456578a1-8a2e-4906-85a4-c93ceef8c108,278,Shorts,False
08b939da-2a7f-46a3-8126-194e09432c3f,199,Hat,True
ea3e5f1b-6987-4b1e-88f9-03659eba4dc7,256,T-Shirt,False
01c5cb43-4ce1-4d08-8b71-c0a20ba94a63,292,Shoes,False
7e3b8120-6f91-4ddc-aa6f-cf49a5dc62aa,285,Longsleeve,False
2d6afa47-fd6f-4b2b-9e51-010280547753,187,Hat,False
b951618d-f10d-4c12-82a4-9b18ee12aa2c,150,Shirt,False
82878359-5004-44b9-8a93-6234169793a4,174,Dress,False
8b82657d-eb42-4468-a073-2513eb0d40f1,70,T-Shirt,False
c1b10b89-bf74-458d-b924-a74b897a43b4,72,Not sure,False
349cf35c-eaad-49af-b0c9-3c88b8d0afc1,153,Longsleeve,False
ce507674-9092-4772-9c66-770d0ad18081,312,Undershirt,True
4cb4760c-7685-4aa7-9338-6ffbc011f353,245,Shoes,False
2fb12663-3f0a-407f-8bdf-e366d62d459a,82,T-Shirt,False
6b1ba174-b2af-4f56-9899-f258f994019a,158,Dress,True
dd262e49-9475-442f-aa1a-7eb21747ca24,274,Dress,True
2f0b7b04-c238-465b-8e7a-08fabec28223,215,Pants,False
490eee4d-d943-4090-af54-a6feee782ea9,163,Undershirt,False
223939a1-c2a0-41c7-8956-fb1b6370ebeb,305,Pants,False
3c5ff556-36e1-442e-8ae7-1b836067916d,320,Undershirt,False
708af227-43ba-4e2b-b35b-652a13cd1c77,33,Hat,False
f937d0b8-1c6f-432f-86a8-dac89c03b890,10,Polo,False
cc1540a6-7e3c-4b12-8e35-0bfb37259daa,65,Outwear,True
47ca3979-4cf9-4105-abf4-d9ad12fb5fa5,218,T-Shirt,True
9e61d8c2-aaf7-4d5e-b07e-804b082bcf88,301,Longsleeve,False
9e56c5f9-9aa9-44f8-9976-653bcf4369cf,216,Other,True
d8a2cddf-3308-457e-b0fe-c3230dc708d0,178,Other,True
e396a61a-8045-4565-a6f1-a89cd5aab7f3,3,T-Shirt,False
396cdf47-f336-491c-919c-ae80cf1d02ba,57,Blazer,False
bc13e811-2e4f-43ed-859e-80de2745ed12,367,Shorts,False
05004de9-8929-45b4-92a6-c881be04e5cc,166,Longsleeve,False
af5c0e7c-d950-4e6f-88ac-642a41a27b75,153,Skirt,False
5008492c-339e-454c-b741-a676d22f1f5c,324,Blazer,False
0098b991-e36e-4ef1-b5ee-4154b21e2a92,10,Pants,False
afc40786-a90b-48ed-a78f-dfb8833d065d,43,Pants,False
0d3cf39f-78f1-440e-9504-f510e75aff0b,158,Dress,False
e69c6c4d-5c8f-4b4b-866d-7c3917ff2a5e,212,Dress,False
ae36221d-b2d9-4508-ac54-fc74951133b8,216,Longsleeve,False
724879a7-718d-4b77-b438-eb39ce612395,288,Pants,True
c6d71611-6bae-4645-8a93-959973e05f8b,259,Shirt,False
8f0c3bd9-5784-4268-b5ee-020122a0dcd3,57,Pants,False
63856971-1795-426b-b451-f32e16a74301,216,Longsleeve,True
980bcf05-03b4-4628-806e-fd141f92fe82,43,Longsleeve,False
ff231d91-0ff6-4485-98e7-a05c26f09fec,65,Outwear,False
44bf7760-a7c2-41c2-9eb4-1d12bd5c235c,209,Outwear,False
a9db59ad-5a9c-4c5d-9a5a-a8aed629cc23,201,Hat,False
42d817a7-45f8-4dfc-848f-a8cb124e1878,186,Outwear,False
9ff5041a-81d2-417c-b6a0-453a2b6b1052,82,Pants,False
c5b80186-15fa-4b9a-9ca4-88005b0db7bf,292,Blouse,False
5ccdfc4b-c547-43ac-933e-406fbdff8efb,66,Not sure,False
1823c84a-dc6f-4edc-ae75-b54303132369,178,Longsleeve,False
6a2b8fc1-5485-467f-984d-ad532e852b52,305,Outwear,True
f99fbb9c-6f57-49f6-a994-5506eb654c16,270,Skip,False
52889e96-b086-4375-92ba-9bd2ddb26fb9,293,Pants,False
68fc2f45-6c5d-4a57-a3e7-2f6a72a4c486,292,T-Shirt,False
35f5fecb-755a-45d6-ac3d-3feb8299dc87,3,Dress,False
d90835e2-e433-4c1b-a43f-4a6ba0f9617a,47,T-Shirt,False
6ecfac41-dd0f-44ab-8c8a-3b7cc45924ea,80,Body,True
5ab0c815-c152-4726-b540-42876b23c34a,129,Dress,False
9cc98501-cd54-446f-aabd-035eed242b9d,316,T-Shirt,False
7b081f03-1877-4352-aa72-9c993e434ff6,211,Dress,True
fd03284a-8027-42af-b8ee-7e14e41ace9b,230,Shoes,True
01f52917-7e92-4c47-8979-1ab9a41c96a8,224,Shoes,True
a8f54cff-a03e-4d7c-add1-ba46b83b43cd,218,Dress,True
cbfb5bb7-3b89-4976-9a8b-f7601f851d39,72,Outwear,False
22ee2330-a2e7-4abf-aec1-0699e819a248,174,Dress,False
c3eaa0a4-4c21-4960-949d-3bfbbd99beaf,73,Longsleeve,False
8fbc8ecb-186a-44a9-96e2-941b471c5beb,299,Undershirt,False
805a7767-cec7-4323-9a75-6c5c2024479d,153,Skirt,False
2df8bf1f-6d89-4acd-b6f6-9daec6b61b95,357,Polo,False
2ac96388-4353-44b6-a174-de2f2523afd1,218,Skirt,False
d30de8fc-5550-4c34-8c44-57051407352b,224,Shoes,True
6b1355ff-cc52-4e2a-a870-e91e75b926fe,351,Top,False
66807c84-da44-4af2-b9be-3848a52a7073,201,Hat,False
0fe5eeb6-316f-4f60-b604-8a1b25e23433,166,Pants,False
f744c13f-1b8f-44ef-a45c-4b8e65771901,245,Shoes,False
5d8bacce-65eb-4bff-9f89-3d023d881d37,155,Top,False
a021443c-ab32-41ff-8df5-cf24f6c5402c,359,T-Shirt,False
3f144818-2c26-4038-b48c-763981cc5b49,252,Dress,True
3e5a1cd5-b9eb-4f6b-b840-2a17f97c3712,312,Polo,True
ae2a9947-7009-40ab-b7ad-0434e73eb2f3,77,Shoes,False
71e8c881-2aee-4078-b49e-196d7881880e,216,Longsleeve,True
26fca408-4412-466b-972a-3a160051534a,215,Hat,False
4e6276b7-564c-4a32-9218-13cfc9148263,142,Pants,False
9e19f45b-b7d4-4988-948b-0bcda7d83df7,65,Longsleeve,False
76649754-ab0b-44ef-a9b6-8f42f7e91047,168,Shoes,False
d61893a4-ce8b-4e29-8928-727482d051cf,252,Body,True
bc492f26-f7d2-4065-92fb-65b6df7b4ea5,78,Shirt,False
39f48611-8f45-4c3d-956f-03490892aaa9,116,T-Shirt,False
a5ff9c3a-272f-4f7e-9cb9-e6d848dc4c2c,365,T-Shirt,False
ff80d9e2-25d5-4e0f-8326-00c49df42199,82,Undershirt,True
7d2cef93-2a52-4462-9b3c-4571c7cf3e0a,319,T-Shirt,False
4997d170-1266-4b3b-9a16-37322c9fb2ba,163,Longsleeve,False
d97a270c-9349-45f7-a06f-dfaf4f17c495,67,T-Shirt,False
a193e3ee-7c35-41d9-b3a2-86b6ee76e231,169,Undershirt,False
7ee4f3fd-6dc3-4b71-901f-9ccbbf8cad80,78,Outwear,False
a685a9b1-c4af-4302-be13-27ef25d178b5,167,Pants,False
52a47d7f-8a47-4c57-8d72-d269d8106aa2,80,Shorts,False
157f5e09-784d-45c8-a6bd-6029920ef0fd,16,Shorts,False
8b0be452-c7d4-4c58-828d-88c70efcb0e5,34,Undershirt,False
3da1c365-4f2c-4411-b34c-f0247232fcd7,33,T-Shirt,False
1ffb85c6-dbf3-4a01-8e62-49c0be6f0d59,128,T-Shirt,False
3f76d021-c94f-499f-9607-8f24fa1e526b,77,Pants,False
49eb3fa7-099d-45e8-88b0-35b60b42e386,356,Pants,False
ba510e07-0c92-4764-9b4f-d9b12560d1f6,256,Pants,False
2459a9ab-b654-4aef-be7c-89340da78cec,155,Skirt,False
967cd983-84e9-4812-ab2e-bdf67cc85051,74,Pants,False
451b4318-6015-4a82-99b2-4a7e3b467382,240,Shorts,False
3c36bf48-07a3-4352-84a4-27f3cd71e22d,216,Longsleeve,True
8b6de4c0-3f40-476d-bad4-a4ee3275176e,168,Shoes,False
29e6297b-0d6c-49c6-8513-dc64b7b979f5,229,Shorts,False
43ac2647-95bc-4174-b9c1-0518a5024ed2,178,Outwear,False
0527af7c-3a7c-4c87-9e1c-bee2d9db0e98,240,Blouse,False
c575d614-707d-47f6-80b2-ecfe64ea9053,162,Shoes,False
a04786b1-80e1-4e10-903a-36ca728c9b53,62,T-Shirt,False
b1299dd2-18e7-4d59-a7dc-f6eb14686572,0,Shoes,False
1654e727-45fa-43de-88fb-44bcdf55cacb,199,Dress,True
57ee8ecc-e2ca-497a-9bf2-7fafcbc794fa,47,T-Shirt,False
dd0ff00d-5ce3-4150-b4ee-05da2c0a6555,217,Dress,False
db41cac1-fba6-4b5d-abb5-e21f310cf84f,252,Body,True
831e024c-83b5-4f66-b9ad-4cd85e6454d4,319,T-Shirt,False
0d9f1bf9-0008-4247-b22b-832ab1c62a70,150,Blazer,False
70731fd8-417c-4d20-94c5-56cf17a7178e,5,Hat,False
96399c5f-1bb4-427a-a4b0-357557fbe712,226,Polo,True
e2d65ea7-508f-4e4e-a646-e1406ff92e03,367,Shorts,False
b8b0c023-1fcf-4f16-aeb7-9687f917cd92,120,T-Shirt,False
10e7ed9b-3700-417a-a085-f31eaad50c0c,281,T-Shirt,False
1a6601f1-4ad2-43c9-b1b6-d46e09995c7a,118,Top,False
49e8dc64-a109-494f-8ad8-656d074f359d,252,Other,True
b9a10398-fdc0-425d-ac63-3b80b45eb899,33,Shorts,False
7f3e1f42-5068-4fde-9355-f27c25423bb8,153,Shoes,False
19088710-43ac-467e-85c9-e1094db4f499,278,T-Shirt,False
dc458dbc-5d9d-47d1-bb39-f0d3f3327574,9,T-Shirt,False
cf80ca35-2d04-4015-941e-8a982ca08540,226,Body,True
7cd2e634-94bf-43f8-a95b-a840e7f79bf1,154,Hat,False
2cd28b7c-b772-4dfa-9336-d08b14e41444,252,Pants,True
c5924c48-00cc-43bd-b8a3-300a1ae7551f,102,Pants,False
db5aab31-c7a7-4459-9751-028dfafc9cb9,293,Shoes,False
5846855b-5c89-430c-ba57-d1bed5cec856,232,Shoes,False
ad0352de-3584-4ed7-8e80-083908297db8,42,Shoes,False
a1a6c91d-9eb1-4e2f-a5b8-3b7f0a6bf67f,201,Shorts,False
e246f68a-44bb-4d02-ad51-d9829cc94df1,215,T-Shirt,False
d53159b1-2e6b-409b-9470-a901bd593dcb,214,Shoes,False
b19fb498-3efd-4e74-97e7-86e6843deb31,216,Longsleeve,True
78b7da73-ca6c-4e99-b88d-a9f358e7f0f2,287,Skirt,False
3d49b769-7585-4033-b853-c16519ceabe4,6,Polo,False
6bedb1ea-9f80-4d65-bca8-7709d34ffb5e,168,Shirt,False
ed22b4d2-a0ba-406d-8107-dc98a196cbcc,130,Shorts,False
b911d68f-dfea-45fd-b66b-6c2bac08c642,169,Shorts,False
5ea28e5a-f527-4954-b17c-a129b64e3f77,168,Longsleeve,False
6567c49d-5cd4-44b2-9824-5c8f4caed18f,66,T-Shirt,False
b3f2dabc-64ad-44fe-9cb7-ba5d0c5d630c,288,Pants,True
0cb83705-48f5-42f4-9288-cd7d11cb77c5,80,Body,True
014b2a1b-c5a0-469b-b115-bc02b2001db5,154,Hat,False
3163669a-a958-45d2-af43-b1fd70d21727,59,Blouse,False
4b46c02a-fd7c-4b39-8690-61da8e4396d1,152,Polo,False
c1d0e41f-8144-46d0-b9af-9372e2115b66,226,T-Shirt,True
78334dc5-2c60-48f8-a665-5d33e357c2d5,306,T-Shirt,False
808694ff-b6de-4f50-a107-a2ab0de65192,111,Shorts,False
14d9f39c-48f5-4da6-bea4-b9f8b94633ed,138,Hat,False
33a07241-01ee-4e64-97f6-e0cc65ae4f5c,292,Shoes,False
67242183-82be-491d-84cb-cd0ae9d00e19,142,Blazer,False
69d17114-7365-41d1-a1f8-951a53a0683d,32,T-Shirt,False
14e754c0-a104-47be-b038-7b1e46068caa,20,Shorts,False
0546d34a-a369-4723-8d3a-74c0f51af26c,218,Dress,False
e46a8690-75bc-46b4-bdde-fef6437d994f,237,Shorts,False
e84c82c0-c1f9-487a-8e98-104e4c218e07,34,T-Shirt,False
53318937-a439-4d5e-89d0-96db472ea7cb,211,Shorts,True
cec644db-b07c-4420-8199-f5bdd8ea3f83,218,Skirt,False
2b3113c3-d37d-47f5-a784-20fb12228365,201,Hat,True
a9894b31-1487-46e2-9a87-c831058b4798,103,T-Shirt,False
e4e24c83-293a-4153-804f-c10b1551dd29,254,Undershirt,True
6110bc5f-2101-4382-a79c-d2158d052b23,137,Blouse,False
b8ffc654-326d-4a02-93d7-c9b20732b1e0,222,Longsleeve,False
19b8f13e-9f17-4fcc-a4cd-7496672b1675,215,Hat,False
a9c5f50d-abad-46f0-9bc1-4cef08015143,274,Hat,False
a09d821a-cfa4-4dcb-b734-e45515b3ead0,158,Dress,False
d4077c88-8d1d-4bf4-905c-362b7b8691eb,312,Body,True
a21a0c36-6e58-4419-8139-8346e3635c6b,215,T-Shirt,False
e1b266de-a3b0-4ff6-92c3-7302bc57b9cb,356,Shirt,False
099de1d5-7422-4230-b11b-fe581139b82c,33,T-Shirt,False
cfc50433-e50a-442b-b7e0-273e17a4edad,31,Pants,False
1fd19366-a938-4eb3-83c9-4bc474f495be,150,Blazer,False
34c94dfc-1234-42f7-8f34-5ded0f654860,290,Shoes,False
1ccfcad0-57a3-44a6-83f7-f42a189cf6bf,342,Pants,True
d4825958-1013-4e12-b56c-3d88193cc5d7,47,Shorts,False
8b18a8a2-55be-4e5e-938b-699ad7d34fad,216,Other,True
2b66fdb1-33dd-445f-a422-b17fbe543483,142,Dress,False
823f659c-e2eb-4402-9125-30b63b8af830,190,T-Shirt,False
d7ea54ee-9a37-42c4-bb14-405817a12b99,285,Longsleeve,True
16e5d441-1398-411e-b013-0374019e32a3,166,Longsleeve,False
bbb6d814-4f2e-4311-9d53-ff081cb0d5f6,330,Pants,False
20e5a129-ac26-4ec2-9bf1-f63427503929,139,Longsleeve,False
d9cf9703-1375-4381-a625-d4ea016cc47c,196,T-Shirt,False
ef4afaa2-ce6f-4063-83ad-beac8d201e67,82,Shirt,False
6cbd8a06-b3b2-49ce-893d-13d49d1411be,317,Shorts,False
ab3bd520-3337-4ed6-a7eb-d11455385fd3,88,Shirt,False
5d925e47-bc47-4cce-9096-75af190a3428,369,T-Shirt,False
547cba07-80cb-43cf-ae23-c7a126a6b766,211,Shorts,False
910268c2-a132-4d25-80b1-59812c52e65c,78,Skirt,False
17225acd-6301-4ffd-b13c-d703db9db078,278,T-Shirt,False
c7c0ee49-32c3-4273-b37b-980972e352eb,290,Shirt,False
6cb41939-b79a-4fad-b0e1-d760f1b4bc77,123,T-Shirt,False
d63ca9f3-8e9e-4f12-b81a-4356dc73f6b7,131,Not sure,False
927451d0-6fc4-4d19-b09f-2a30fe0e3628,232,Shoes,False
415566a9-f64f-412f-9509-b72d8b8d6c65,178,Dress,False
63ebe486-5c81-4bc7-abcf-cf6520cfe63d,258,Dress,True
fbdddc68-0c17-47fb-a6a4-28f9564f44fb,65,Shoes,False
20679064-7d30-434b-bd91-a6614f7ceb09,198,Shorts,False
1ab00c0e-4fc7-45d4-b9af-7d1bd75e1fd9,168,T-Shirt,False
52242d70-6914-4819-94cd-844e380ffbcb,313,Shirt,False
324b3d8f-3a20-4668-b58b-b4083ed1039a,292,Hat,False
9e578f34-a6df-46f6-80b0-1dfd30b7fa36,148,Dress,False
792fbbb4-b383-45ba-9e96-ffb11f1d00a9,0,Outwear,True
7a9d5c6f-d1b6-42e6-8200-da323a048bc6,17,Shorts,False
3cef4468-d107-4f8a-949e-aaca30eedcdb,312,Pants,True
8adc00dd-1bfc-4c47-9cbb-be32f38a0275,275,Shorts,False
fce53abd-5937-4881-bb47-2ef68f6da985,131,Longsleeve,False
c237ad58-3c32-413a-9698-734d3e0c97c9,80,Body,True
b2770ba5-2094-4203-8797-aa863f2cca2c,344,Pants,False
84e4d60a-a684-4b88-b86e-dfac84cfac92,367,Skirt,False
10cb59c5-1b8d-487a-820f-bb7caa7d8a80,332,Shirt,False
2a774d80-c007-43a7-9c38-85e441274cfc,312,Shirt,False
0a5d2669-3f7f-4350-9f1b-42204b0a9706,214,Shoes,True
923f1fdc-6da8-4a21-8839-1cc658d36362,369,Other,True
702c26ad-76d4-4906-a13f-62fc0af4b083,178,Dress,False
8713b1fa-9037-4657-8eda-084d4e147dce,125,T-Shirt,False
6728b4d4-1f7d-4875-8a72-3899f61468cd,125,Pants,False
16740066-3329-4165-884a-25c42814d590,71,Dress,False
73ac436f-d222-491e-8603-70bf6f1f6ad9,154,Hat,False
fbdb72f7-0d7f-4c8b-b8b3-0d90c96bffa7,95,Pants,False
c4b9d4f5-2a30-481a-8cb5-51ae0fd189de,24,Pants,False
208fc4d7-7eeb-497e-81fd-217da9d5f384,55,Not sure,False
7f160564-1b10-4cf0-bb61-5d9af037e898,287,Skirt,False
b9b69d8d-2885-4ac1-8408-a5a379e7116e,95,T-Shirt,False
eb1677ad-53da-4b3f-bced-e5c01a7e64bf,150,Shoes,False
22d0ec9a-ff45-4c64-8f2f-76ca9f1ad164,232,Shoes,False
411a9780-e825-4bed-b9ce-848927b36638,92,Dress,False
62384b64-25d5-4ed0-9fc2-d05c4af0b894,18,Undershirt,False
cf846233-591b-43e6-865c-0365caa69aa5,289,Shoes,False
5103e71c-1a7c-4781-966e-4e4aa54514c7,198,Longsleeve,False
111f6233-f984-46a9-ab6a-13d3c5a3585c,150,Shirt,False
51ec2329-7f56-4cec-ae5e-a40b7f79268a,102,T-Shirt,False
e53cf0f2-4b30-472f-9832-05897ff29c3f,66,Undershirt,False
6d3a3735-2676-4bdc-86d0-292d27a4ab81,221,Top,False
29d70d79-7b4b-402d-a2cd-72962819f515,166,Shorts,False
caf96ed0-978a-4b83-9a8b-161adb1bf40b,3,Blouse,False
142c1548-ba32-4f34-9032-2ece7f8650ea,117,Undershirt,False
9a858530-6e0d-4bf0-8900-42055c64ddaf,190,Pants,False
600e6a2d-1177-4918-9760-610f2d89dc30,78,Pants,False
b61be122-02ff-4a32-8da9-d331cbcd3cce,122,Pants,False
21183cf1-c20b-4a86-8e86-ab5ca9b26c06,178,Longsleeve,False
4eec8a60-15db-46d0-86b4-04e3cd8e75f8,119,Longsleeve,False
09f4ffb6-ed86-42b6-ac23-6f8f2359460f,150,Shirt,False
46e76b5f-85cb-4dab-a45c-3c1ea74576f3,100,T-Shirt,False
87f0405b-bdea-4e8a-a0bf-5199dd1a158c,194,T-Shirt,False
54e4e91f-b255-4e2d-906f-c482432a7048,288,Hat,True
e94c0116-4bf1-4fc7-acc5-0710e208583e,109,Pants,True
d9e84490-185d-48f9-ac16-4ef3360616d5,164,Longsleeve,False
276db6ba-6a50-499f-8a3d-7ede222493df,57,Pants,False
9d433006-cfa0-41e8-8a5a-0d80d50a73e4,14,T-Shirt,False
9b4aa622-dab1-4d43-abc5-e736e0f600fc,3,Pants,False
cb61ac26-e7a5-42a6-8471-66f69a9ccd4d,252,Dress,False
fbb54104-ee0f-4180-9216-2696f9df52a5,171,T-Shirt,False
b7935371-743f-4ad4-9a48-fdb9d0bca9e4,0,Shoes,False
081b5ec1-13a6-43c8-991f-9ad2020f646a,129,Pants,False
21059bce-cf86-4064-b9af-5dbbbc6e7593,178,Dress,False
07349830-408d-42b7-baeb-35ad9a21c6bf,327,T-Shirt,False
877fb774-0a69-499a-9358-20143c80b456,78,Not sure,False
740b1190-d0f7-4de4-9a7e-894f27c107a4,153,Undershirt,False
f7d4b8f0-9d80-40b7-a7d1-c2db6549ebea,145,Undershirt,False
bfb072bd-4378-47d5-ad94-e11e367fbdd0,168,Longsleeve,False
8b6ef17f-0669-40fa-935f-6a6e44fd348d,35,T-Shirt,False
f6cdc0f4-9615-4e0c-a22b-6972f6fb4e1a,342,Pants,False
34860e8b-0c9e-464d-848f-a4e834157edd,51,Not sure,False
ce5e1ff5-b923-462b-b897-c26d7c571ece,287,Polo,False
37ca3848-62c1-4e3c-a672-5627f2270c95,327,T-Shirt,False
7dc1ee94-a507-4160-96d4-276364e31c3c,150,Shoes,False
e218f9f6-f7c7-483e-bcd6-c50458c2a3bf,80,Undershirt,False
1a837d72-8a6b-487b-aa36-b3c2d19a8af5,240,Shorts,False
dd4a72e6-a2c8-48ec-8cee-07ca47282f58,266,Shorts,False
314125df-9112-48b9-9b5e-ad6c4130eee5,144,Shorts,False
334bc6ef-fc89-4226-90f3-dd63645ec845,301,Dress,False
f116a69b-3544-4ffd-8d7b-116def60fdab,195,Undershirt,False
e976a8f6-6731-485f-8a9a-2872a5208818,226,T-Shirt,False
4ef0dece-adfc-4036-ad34-922d607d4bd5,150,Blouse,False
64143c56-3c94-46c4-a96d-b594cf1bb110,82,Shorts,False
5909f313-edfd-4d94-9cdb-3a05e02bb926,184,T-Shirt,False
b6899eaa-fe32-4547-9217-05bbcb09c217,154,Hat,False
9e530520-3973-44d0-b630-e213c809b854,167,Skirt,False
598fb3d5-2ffc-44f1-af7a-1346edafc364,149,Shoes,False
1c4c974b-47b3-40bb-a3e2-913e4874dd75,13,Dress,True
b8fef860-a816-4c39-8811-11e0909bac51,360,T-Shirt,True
8b719bfa-919d-45c1-a83e-86ceec917c41,351,T-Shirt,False
f28fb711-b7bf-4d6e-9935-6970a311a14e,174,Dress,False
4dc09b5c-9009-4e75-8432-150b0fab4aac,141,Shoes,False
